0	"Perfect"	Open Input/other anomaly	RS Anomaly	Ic Anomaly	Could not screen. Needs re-mount / re-screen	PCB	LOC	Note	More notes	
w37_r18_c02						20190913_B	B08 gel-pak "BICEP w37 perfect"	Ic_max and modulation on all rows is a bit low		
w37_r18_c03	x					20190913_B	B08 gel-pak "BICEP w37 perfect"			
w37_r18_c04	x					20190913_B	B08 gel-pak "BICEP w37 perfect"			
w37_r18_c05	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r18_c06	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r18_c07	x					20190913_B	B08 gel-pak "BICEP w37 perfect"			
w37_r19_c02						20190913_B	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	open FB line		
w37_r19_c03	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r19_c04	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r19_c05			7			20190912_A	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	RS07 - non-sinusoidal v-phi		
w37_r19_c06	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r19_c07	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r20_c03	x					20190913_B	B08 gel-pak "BICEP w37 perfect"			
w37_r20_c04			0			20190913_B	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	RS00 - supressed modulation depth		
w37_r20_c06	x					20190912_A	B08 gel-pak "BICEP w37 perfect"			
w37_r21_c04		IN06				20190913_B	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	open FB line		
w37_r21_c05			0			20190913_B	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	RS00 - no modulation		
w39_r08_c00				open FB		20191115_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r08_c01	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r08_c02	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r08_c03	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r08_c04	x					20191115_C	B08 gel-pak "BICEP mux15b W39"	X6		
w39_r08_c05	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r08_c07	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r08_c08	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r09_c00			7			20191115_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r09_c02			5			20191115_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r09_c03			3			20191115_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r09_c04	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r09_c05	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r09_c06	x					20191115_C	B08 gel-pak "BICEP mux15b W39"	Y4		
w39_r09_c07	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r09_c08	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r10_c01			7	6		20191115_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r10_c02	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r10_c03				1		20191115_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r10_c04	x					20191115_C	B08 gel-pak "BICEP mux15b W39"	Z1		
w39_r10_c05	x					20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r10_c06				10		20191115_C	B08 gel-pak "BICEP W39 imperfect archive"	Input coupling low on RS10		
w39_r10_c07	x					20191115_C	B08 gel-pak "BICEP mux15b W39"	Z2		
w39_r10_c08				open Bias		20191115_C	B08 gel-pak "BICEP mux15b W39"			
w39_r11_c00	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	Y5		
w39_r11_c01				open FB		20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r11_c02			4	6		20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r11_c03				open FB		20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r11_c05		>=06				20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r11_c06		<=04				20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r11_c07	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	Slight kink in Ib-Mod curve causes Ic,max and mod both report as slightly low. 	Y7	
w39_r11_c08	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	Slight kink in Ib-Mod curve causes Ic,max and mod both report as slightly low.		
w39_r11_c09			8			20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r12_c00			9			20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r12_c01			01,02,03			20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r12_c02	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	Y0		
w39_r12_c03				open FB		20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r12_c04	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	Y3		
w39_r12_c05				2		20191115_B	B08 gel-pak "BICEP W39 imperfect archive"	non-sinusoidal v-phi		
w39_r12_c06	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	Y4		
w39_r12_c08	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	X4		
w39_r12_c09	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	Z4		
w39_r13_c01				x		20191115_D	B08 gel-pak "BICEP W39 imperfect archive"	supressed Ic,max and Mod		
w39_r13_c02				open FB		20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r13_c04			4			20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r13_c05	x					20191115_B	B08 gel-pak "BICEP mux15b W39"			
w39_r13_c06	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	Z1		
w39_r13_c07			9			20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r13_c08		5		open Bias		20191115_B	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r13_c09	x					20191115_B	B08 gel-pak "BICEP mux15b W39"	slightly low Ic,max on RS10		
w39_r14_c00			1			20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r14_c01			3			20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r14_c02			6	0		20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r14_c03				open FB		20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r14_c04	x					20191115_D	B08 gel-pak "BICEP mux15b W39"	slightly low Ic,max on RS00, slightly high on RS06		
w39_r14_c06	x					20191115_D	B08 gel-pak "BICEP mux15b W39"	X1		
w39_r14_c07						20191115_D	B08 gel-pak "BICEP W39 imperfect archive"	non-sinusoidal v-phi on RS01		
w39_r14_c08				open FB		20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r14_c09			08,09,10	08,09,10		20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r15_c01	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	Y7		
w39_r15_c02	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	X7		
w39_r15_c03			3			20191115_A	B08 gel-pak "BICEP W39 imperfect archive"	non-sinusoidal v-phi on RS08, Low input coupling on RS06		
w39_r15_c04				8		20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r15_c05			5			20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r15_c06						20191115_D	B08 gel-pak "BICEP W39 imperfect archive"	weird Ic's across all rows		
w39_r15_c07	x					20191115_D	B08 gel-pak "BICEP mux15b W39"			
w39_r15_c08				open FB		20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r16_c01			6	1		20191115_A	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r16_c02	x					20191115_D	B08 gel-pak "BICEP mux15b W39"			
w39_r16_c03	x					20191115_A	B08 gel-pak "BICEP mux15b W39"			
w39_r16_c05	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	X6		
w39_r16_c06	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	Z6		
w39_r16_c07	x					20191115_D	B08 gel-pak "BICEP mux15b W39"			
w39_r16_c08	x					20191115_D	B08 gel-pak "BICEP mux15b W39"			
w39_r17_c02	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	X4		
w39_r17_c03	x					20191115_A	B08 gel-pak "BICEP mux15b W39"			
w39_r17_c04			0			20191115_A	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r17_c05			7			20191115_A	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r17_c07	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	X5		
w39_r18_c03			2			20191115_A	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r18_c04	x					20191115_A	B08 gel-pak "BICEP mux15b W39"			
w39_r18_c05	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	Y3		
w39_r18_c06	x					20191115_D	B08 gel-pak "BICEP mux15b W39"	Y6		
w39_r18_c07	x					20191115_D	B08 gel-pak "BICEP mux15b W39"	Z6		
w39_r19_c02			0			20191115_A	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r19_c03	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	Z2		
w39_r19_c04	x					20191115_D	B08 gel-pak "BICEP mux15b W39"	X7		
w39_r19_c05			10	6		20191115_D	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r19_c06	x					20191115_D	B08 gel-pak "BICEP mux15b W39"	Y7		
w39_r19_c07			9			20191115_A	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r20_c03	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	Z0		
w39_r20_c04	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	Y0		
w39_r20_c05	x					20191115_A	B08 gel-pak "BICEP mux15b W39"			
w39_r20_c06	x					20191115_A	B08 gel-pak "BICEP mux15b W39"	Y1		
w39_r21_c04			02, 10			20191115_A	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r21_c05			0			20191115_A	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r03_c03			1			20200109_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r03_c06		04,05,06				20200109_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r03_c05	x					20200109_C	B08 gel-pak "BICEP W39 W41"	Low modulation on RS05		
w39_r03_c07	x					20200109_C	B08 gel-pak "BICEP W39 W41"	low modulation on RS06,07		
w39_r03_c04				open FB		20200109_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r02_c02		03,04				20200109_C	B08 gel-pak "BICEP W39 imperfect archive"			
w39_r06_c03					x	20200109_B	Shipped March 19, 2021			
w39_r06_c02					x	20200109_B	Shipped March 19, 2021			
w39_r07_c09					x	20200109_B	Shipped March 19, 2021			
w39_r05_c01					x	20200109_B	Shipped March 19, 2021			
w39_r05_c02					x	20200109_B	Shipped March 19, 2021			
w39_r05_c04					x	20200109_B	Shipped March 19, 2021			
w39_r06_c05			10			20200109_B	Shipped March 19, 2027 -- Not actually shipped: in W39 Leftover			
w39_r06_c06			8	5		20200109_B	Shipped March 19, 2028 -- Not actually shipped: in W39 Leftover			
w39_r06_c04			0, 1			20200109_B	Shipped March 19, 2029 -- Not actually shipped: in W39 Leftover			
w39_r06_c07			10			20200109_B	Shipped March 19, 2030 -- Not actually shipped: in W39 Leftover			
w39_r06_c08			1	5		20200109_B	Shipped March 19, 2031 -- Not actually shipped: in W39 Leftover			
w39_r06_c09						20200109_B	Shipped March 19, 2021	Open FB line		
w39_r05_c06	x					20200109_B	Shipped March 19, 2021			
w39_r05_c08	x					20200109_B	Shipped March 19, 2021			
w39_r05_c05			8			20200109_B	Shipped March 19, 2021			
w39_r04_c01					x	20200109_B	Shipped March 19, 2036 -- Not actually shipped: in W39 Leftover			
w39_r05_c07					x	20200109_B	Shipped March 19, 2037 -- Not actually shipped: in W39 Leftover			
w39_r04_c02					x	20200109_B	Shipped March 19, 2038 -- Not actually shipped: in W39 Leftover			
w39_r04_c06	x					20200109_B	Shipped March 19, 2021			
w39_r04_c03				0		20200109_B	Shipped March 19, 2021	Ic,max on RS0 is low, but possibly usable		
w39_r04_c04			1, 8			20200109_B	Shipped March 19, 2041 -- Not actually shipped: in W39 Leftover			
w39_r04_c08				4		20200109_B	Shipped March 19, 2021	Low Modulation depth on all channels		
w39_r04_c07						20200109_B	Shipped March 19, 2021	Open FB line		
w39_r03_c02						20200109_B	Shipped March 19, 2021	Low modulation depth on all channels		
424							Shipped March 19, 2021			
w41_r21_c05			0			20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r20_c05	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r20_c06			0, 1, 2,			20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r20_c03	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r20_c04	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r21_c04			0	1		20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r19_c02						20201009_D	Shipped March 19, 2021	Open Bias line		
w41_r19_c03	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r18_c02	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r19_c06	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r19_c05	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r19_c04	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r18_c04	x					20201009_D	Shipped March 19, 2021			
w41_r19_c07						20201009_D	Shipped March 19, 2021	Open FB line		
w41_r18_c03	x					20201009_D	Shipped March 19, 2021			
w41_r18_c05		x				20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r18_c06	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r18_c07			3			20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r17_c04	x					20201009_D	Shipped March 19, 2021			
w41_r17_c02	x					20201009_D	Shipped March 19, 2021			
w41_r17_c03	x					20201009_D	Shipped March 19, 2021			
w41_r17_c07	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r17_c05	x					20201009_D	Shipped March 19, 2021	low Ic,col		
w41_r17_c06	x					20201009_D	Shipped March 19, 2021	low Ic,col		
							Shipped March 19, 2021			
w41_r16_c01	x					20210121_C	Shipped March 19, 2021			
w41_r16_c02	x					20210121_C	Shipped March 19, 2021			
w41_r16_c03	x					20210121_C	Shipped March 19, 2021			
w41_r16_c06	x					20210121_C	Shipped March 19, 2021			
w41_r16_c05	x					20210121_C	Shipped March 19, 2021			
w41_r16_c04	x					20210121_C	Shipped March 19, 2021			
w41_r16_c07	x					20210121_C	Shipped March 19, 2021			
w41_r16_c08	x					20210121_C	Shipped March 19, 2021			
w41_r15_c01	x					20210121_C	Shipped March 19, 2021			
w41_r15_c02	x					20210121_C	Shipped March 19, 2021			
w41_r15_c04	x					20210121_C	Shipped March 19, 2021			
w41_r15_c03	x					20210121_C	Shipped March 19, 2021			
w41_r15_c06		x				20210121_C	Shipped March 19, 2021			
w41_r15_c07	x					20210121_C	Shipped March 19, 2021			
w41_r15_c05	x					20210121_C	Shipped March 19, 2021			
w41_r15_c08	x					20210121_C	Shipped March 19, 2021	X5		
w41_r14_c00		x				20210121_C	Shipped March 19, 2021	Crossed Bias/FB		
w41_r14_c01	x					20210121_C	Shipped March 19, 2021			
w41_r14_c04	x					20210121_C	Shipped March 19, 2021	X6		
w41_r14_c02	x					20210121_C	Shipped March 19, 2021	Y6		
w41_r14_c03	x					20210121_C	Shipped March 19, 2021			
w41_r14_c05		x				20210121_C	Shipped March 19, 2021			
w41_r14_c07	x					20210121_C	Shipped March 19, 2021	Y7		
w41_r14_c06		x				20210121_C	Shipped March 19, 2021	Crossed Bias/FB		
										
w41_r13_c04						20210525_D	BICP W41 1/2 (upper half)	Nicholas original run -- will not be shipped 		
w41_r13_c01						20210525_D	BICP W41 1/2 (upper half)			
w41_r13_c00						20210525_D	BICP W41 1/2 (upper half)			
w41_r13_c08		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r13_c05		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r12_c07		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r12_c05		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r10_c01		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r14_c08		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r13_c02		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r14_c09		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r13_c09		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r13_c06		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r12_c08 		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r11_c00		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r12_c02		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r12_c04		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r13_c03		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r12_c01						20210525_D	BICP W41 1/2 (upper half)			
w41_r12_c00						20210525_D	BICP W41 1/2 (upper half)			
w41_r13_c07						20210525_D	BICP W41 1/2 (upper half)			
w41_r12_c09		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r12_c06		x				20210525_D	BICP W41 1/2 (upper half)			
w41_r11_c09		x				20210525_D	BICP W41 1/2 (upper half)			
										
										
w41_r09_c08					x	20210624_D	W41 NEED RESCREENING			
w41_r09_c07					x	20210624_D	W41 NEED RESCREENING			
w41_r08_c05					x	20210624_D	W41 NEED RESCREENING			
w41_r10_c08					x	20210624_D	W41 NEED RESCREENING			
w41_r11_c07					x	20210624_D	W41 NEED RESCREENING			
w41_r11_c05					x	20210624_D	W41 NEED RESCREENING			
w41_r11_c01					x	20210624_D	W41 NEED RESCREENING			
w41_r08_c02					x	20210624_D	W41 NEED RESCREENING			
w41_r08_c03					x	20210624_D	W41 NEED RESCREENING			
w41_r09_c06					x	20210624_D	W41 NEED RESCREENING			
w41_r10_c07					x	20210624_D	W41 NEED RESCREENING			
w41_r09_c05					x	20210624_D	W41 NEED RESCREENING			
w41_r08_c04					x	20210624_D	W41 NEED RESCREENING			
w41_r09_c09					x	20210624_D	W41 NEED RESCREENING			
w41_r09_c01					x	20210624_D	W41 NEED RESCREENING			
w41_r10_c06		x			x	20210624_D	W41 NEED RESCREENING			
w41_r11_c08	x	x				20210624_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r09_c04	x	x				20210624_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r08_c01	x					20210624_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r10_c05	x					20210624_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r08_c00	x					20210624_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r08_c06	x					20210624_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r09_c02	x					20210624_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r11_c06	x					20210624_D	W41 DONE		SHIPPED ON 09/24/2021	
										
w41_r07_c01	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r07_c04	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r07_c03        				x		20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r08_c08	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r08_c08	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r00_c05	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r00_c04	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r07_c00	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r07_c02	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r02_c04				x		20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r00_c06				x		20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r01_c04	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r01_c02	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r01_c06	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r01_c07	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r01_c05	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r01_c03 				x		20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r02_c07	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r02_c05 	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r02_c02	x					20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r02_c03						20210701_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r08_c07		x			x	20210701_D	W41 INPUT OL			
w41_r00_c03		x			x	20210701_D	W41 INPUT OL			
w41_r02_c06		x			x	20210701_D	W41 INPUT OL			
										
w41_r05_c02	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r05_c05	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r04_c01				x		20210728_D	W41 BAD			
w41_r06_c04	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r06_c06	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r07_c06	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r07_c09	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r06_c02	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r05_c03					x	20210728_D	W41 NEED RESCREENING	RS issue -- need rescreening		
w41_r05_c07					x	20210728_D	W41 NEED RESCREENING	RS issue -- need rescreening		
w41_r05_c06					x	20210728_D	W41 NEED RESCREENING	RS issue -- need rescreening		
w41_r06_c05					x	20210728_D	W41 NEED RESCREENING	RS issue -- need rescreening		
w41_r06_c07					x	20210728_D	W41 NEED RESCREENING	RS issue -- need rescreening		
w41_r07_c07					x	20210728_D	W41 NEED RESCREENING	RS issue -- need rescreening		
w41_r06_c00					x	20210728_D	W41 NEED RESCREENING	RS issue -- need rescreening		
w41_r04_c02					x	20210728_D	W41 NEED RESCREENING	RS issue -- need rescreening		
w41_r05_c04	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r05_c08	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r06_c03					x	20210728_D	W41 NEED RESCREENING			
w41_r05_c01	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r07_c05	x						W41 DONE		SHIPPED ON 09/24/2021	
w41_r07_c08	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r06_c01	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
w41_r04_c03	x					20210728_D	W41 DONE		SHIPPED ON 09/24/2021	
143										
w42_r00_c05	x		10			20210730_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r00_c03	x		16			20210730_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r01_c04				x		20210730_D	W42 BAD		SHIPPED ON 09/24/2021	
w42_r02_c07	x		10			20210730_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r02_c05	x		16			20210730_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r03_c02	x					20210730_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r03_c06	x		10			20210730_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r03_c04	x		16			20210730_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r00_c06	x					20210730_D	20210802_D RSCRND	were retested on 20210802_D		
w42_r01_c06	x		10			20210730_D	20210802_D RSCRND	were retested on 20210802_D		
w42_r01_c03	x		16			20210730_D	20210802_D RSCRND	were retested on 20210802_D		
w42_r02_c06	x					20210730_D	20210802_D RSCRND	were retested on 20210802_D		
w42_r02_c03	x		10			20210730_D	20210802_D RSCRND	were retested on 20210802_D		
w42_r04_c07	x		16			20210730_D	20210802_D RSCRND	were retested on 20210802_D		
w42_r02_c02	x					20210730_D	20210802_D RSCRND	were retested on 20210802_D		
w42_r04_c08	x	x	10			20210730_D	20210802_D RSCRND	were retested on 20210802_D		
w42_r00_c04		x	16		x	20210730_D	W42 NEED RESCREEN	were retested on 20210803_D -- RS 5 issue		
w42_r01_c07	x	x				20210730_D	W42 DONE	were retested on 20210803_D	SHIPPED ON 09/24/2021	
w42_r01_c05	x		10			20210730_D	W42 DONE	were retested on 20210803_D	SHIPPED ON 09/24/2021	
w42_r01_c02			16		x	20210730_D	W42 NEED RESCREEN	were retested on 20210803_D -- RS 5 issue		
w42_r02_c04	x					20210730_D	W42 DONE	were retested on 20210803_D	SHIPPED ON 09/24/2021	
w42_r03_c03	x		10			20210730_D	LOCATION UNKNOWN	were retested on 20210803_D		
w42_r03_c07			16		x	20210730_D	W42 NEED RESCREEN	were retested on 20210803_D -- RS 5 issue		
w42_r03_c05	x					20210730_D	W42 DONE	were retested on 20210803_D	SHIPPED ON 09/24/2021	
24										
w42_r07_c00			7			20210804_D	W42 NEED RESCREEN	Probably problematic RS connection		
w42_r07_c01			3			20210804_D	W42 NEED RESCREEN	Probably problematic RS connection		
w42_r07_c02				x		20210804_D	W42 NEED RESCREEN			
w42_r07_c05	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r07_c06	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r07_c06	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r07_c09					x	20210804_D	W42 NEED RESCREEN			
w42_r06_c00					x	20210804_D	W42 NEED RESCREEN			
w42_r07_c09					x	20210804_D	W42 NEED RESCREEN			
w42_r06_c01	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r06_c02	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r06_c06				x		20210804_D	W42 BAD			
w42_r06_c07					x	20210804_D	W42 NEED RESCREEN			
w42_r06_c08					x	20210804_D	W42 NEED RESCREEN			
w42_r06_c09					x	20210804_D	W42 NEED RESCREEN			
w42_r05_c02	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r05_c01	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r05_c06	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r05_c07	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r04_c01	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r04_c02	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r04_c03	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r04_c05	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r04_c06	x					20210804_D	W42 DONE		SHIPPED ON 09/24/2021	
										
w42_r10_c04	x					20210805_D	W42 DONE			
w42_r10_c05	x					20210805_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r10_c06	x					20210805_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r10_c07				x		20210805_D	W42 DONE	Iccol 14.5	SHIPPED ON 09/24/2021	
w42_r10_c08				x		20210805_D	W42 DONE	Iccol 14.5	SHIPPED ON 09/24/2021	
w42_r09_c00				x		20210805_D	W42 DONE	Iccol 14.5	SHIPPED ON 09/24/2021	
w42_r09_c01						20210805_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r09_c02						20210805_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r09_c04						20210805_D	W42 DONE		SHIPPED ON 09/24/2021	
w42_r09_c05				x		20210805_D	W42 NEED RESCREEN	Iccol 11.2		
w42_r09_c06				x		20210805_D	W42 NEED RESCREEN	Iccol 11.2		
