0	"Perfect"	Open Input/other anomaly	RS Anomaly	Ic Anomaly	Could not screen. Needs re-mount / re-screen	PCB	LOC	Note	More notes	
w31_r07_c02		IN03,04		RS03,04 low Icmax		20190617_C	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"			
w31_r07_c03					x	20190617_C	B08 gel-pak "BICEP NEED RE-SCREEN"			
w31_r07_c04	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r07_c05	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r07_c06	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r07_c07	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r07_c08				0		20190617_A	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	problem with Icmin Icmax processing on rs00. Need to double check this.		
w31_r07_c09	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c00	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c01	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c02	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c03	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c04	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c05	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c06	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c07	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c08	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r08_c09	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r09_c00	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r09_c01	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r09_c02	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r09_c03				0		20190617_A	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	ibis curve is a bit off, skewing the Ic,max value, probably fine though		
w31_r09_c04	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r09_c05	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r09_c06	x					20190403_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r09_c07	x					20190415_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
